PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=114 time=34.2 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=114 time=31.1 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=114 time=33.0 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=114 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=114 time=55.4 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=114 time=24.4 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=114 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=114 time=52.6 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=114 time=78.6 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=114 time=49.4 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=114 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=114 time=30.5 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=114 time=46.3 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=114 time=30.0 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=114 time=32.0 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=114 time=51.3 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=114 time=27.2 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=114 time=26.6 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=114 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=114 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=114 time=176 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=114 time=27.1 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=114 time=40.7 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=114 time=26.9 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=114 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=114 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=114 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=114 time=29.5 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=114 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=114 time=58.1 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=114 time=27.0 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=114 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=114 time=29.2 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=114 time=49.4 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=114 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=114 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=114 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=114 time=34.5 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=114 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=114 time=29.1 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=114 time=30.5 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=114 time=29.2 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=114 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=114 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=114 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=114 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=114 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=114 time=23.0 ms
